number,id,title,category,style,author,source_url,image_url,note,collection_date
26,rawpixel-16485947-tung,Minimalist Campfire Line Art Icon Vector,campfire,solid,Tung,https://www.rawpixel.com/image/16485947/minimalist-campfire-line-art-icon-vector,https://images.rawpixel.com/image_social_portrait/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDI0LTExL3YxMTgxLXR1LWVsZW1lbnQtMzA3LmpwZw.jpg,큰 불꽃 하나와 교차 장작만 남기고 음영·장식·내부 질감을 배제한 아이콘입니다.,2026-09-05
27,noun-campfire-26546,Campfire,campfire,line,VALÈRE DAYAN,https://thenounproject.com/icon/campfire-26546/,https://static.thenounproject.com/png/campfire-icon-26546-512.png,불꽃·장작·열기의 관계를 짧은 선과 빈 공간으로 표현한 형태입니다.,2026-09-05
28,noun-campfire-692495,Campfire,campfire,solid,VectorBakery,https://thenounproject.com/icon/campfire-692495/,https://static.thenounproject.com/png/campfire-icon-692495-512.png,불꽃 덩어리와 낮은 장작 베이스를 대비한 작은 실루엣입니다.,2026-09-05
29,noun-campfire-15153,Campfire,campfire,solid,Victor,https://thenounproject.com/icon/campfire-15153/,https://static.thenounproject.com/png/campfire-icon-15153-512.png,작은 불꽃과 장작 덩어리를 명확한 덩어리감으로 배치한 형태입니다.,2026-09-05
30,noun-campfire-7917350,Campfire,campfire,solid,insdesign86,https://thenounproject.com/icon/campfire-7917350/,https://static.thenounproject.com/png/campfire-icon-7917350-512.png,불꽃과 통나무를 응축한 최신형 캠프파이어 아이콘입니다.,2026-09-05
31,noun-campfire-753821,Campfire,campfire,line,mungang kim,https://thenounproject.com/icon/campfire-753821/,https://static.thenounproject.com/png/campfire-icon-753821-512.png,불꽃과 아래 장작의 선형 대비가 또렷한 미니멀 캠프파이어입니다.,2026-09-05
32,noun-campfire-146715,Campfire,campfire,solid,parkjisun,https://thenounproject.com/icon/campfire-146715/,https://static.thenounproject.com/png/campfire-icon-146715-512.png,불꽃과 불쏘시개를 작게 묶어 보이는 야외 불 마크입니다.,2026-09-05
33,noun-campfire-168186,Campfire,campfire,solid,stolkramaker,https://thenounproject.com/icon/campfire-168186/,https://static.thenounproject.com/png/campfire-icon-168186-512.png,불꽃이 중심이 되고 아래 장작이 받치는 간결한 수직 구도입니다.,2026-09-05
34,candle-017-iconpark-spa,Spa Candle,candle,line,ByteDance,https://icon-sets.iconify.design/icon-park-outline/spa-candle/,https://api.iconify.design/icon-park-outline/spa-candle.svg,낮고 넓은 향초 용기와 중앙 불꽃을 굵은 라운드 선으로 그린 안정적인 형태.,2026-09-05
35,candle-019-gameicons-flame,Candle Flame,candle,solid,GameIcons,https://icon-sets.iconify.design/game-icons/candle-flame/,https://api.iconify.design/game-icons/candle-flame.svg,좌우로 갈라져 흔들리는 큰 불꽃과 녹은 초 윗부분을 역동적으로 연결한 형태.,2026-09-05
36,candle-015-gameicons-candle-light,Candle Light,candle,solid,GameIcons,https://icon-sets.iconify.design/game-icons/candle-light/,https://api.iconify.design/game-icons/candle-light.svg,큰 외부 불꽃과 작은 내부 불꽃을 겹치고 아래 초를 좁게 둔 극적인 단색 형태.,2026-09-05
37,candle-001-material-symbols-rounded,Candle Outline Rounded,candle,solid,Google,https://icon-sets.iconify.design/material-symbols/candle-outline-rounded/,https://api.iconify.design/material-symbols/candle-outline-rounded.svg,물방울형 불꽃과 짧은 원통 몸체를 둥근 모서리로 묶은 단색 플랫 아이콘.,2026-09-05
38,candle-024-lucide-holder-lit,Lit Candle Holder,candle,line,Lucide Contributors,https://icon-sets.iconify.design/lucide-lab/candle-holder-lit/,https://api.iconify.design/lucide-lab/candle-holder-lit.svg,접시형 손잡이 촛대 위에 작은 물방울 불꽃을 더한 친근한 라운드 라인 디자인.,2026-09-05
39,candle-026-lucide-tealight-lit,Lit Candle Tealight,candle,line,Lucide Contributors,https://icon-sets.iconify.design/lucide-lab/candle-tealight-lit/,https://api.iconify.design/lucide-lab/candle-tealight-lit.svg,넓고 낮은 티라이트 캔 위로 불꽃을 세워 수평·수직 대비가 또렷한 형태.,2026-09-05
40,candle-029-lucide-candlestick-lit,Lit Candlestick,candle,line,Lucide Contributors,https://icon-sets.iconify.design/lucide-lab/candlestick-lit/,https://api.iconify.design/lucide-lab/candlestick-lit.svg,가늘고 긴 초와 작은 불꽃만 남기고 장식을 덜어낸 세로형 미니멀 라인.,2026-09-05
41,candle-010-jam-outline,Candle Outline,candle,line,Michael Amprimo,https://icon-sets.iconify.design/jam/candle/,https://api.iconify.design/jam/candle.svg,짧은 초를 넓은 가로 받침 위에 올리고 불꽃을 작은 물방울로 강조한 형태.,2026-09-05
42,candle-004-mingcute-fill,Candle Fill,candle,solid,MingCute Design,https://icon-sets.iconify.design/mingcute/candle-fill/,https://api.iconify.design/mingcute/candle-fill.svg,둥근 직사각 몸체와 흔들리는 불꽃을 분리한 부드러운 단색 글리프.,2026-09-05
43,candle-028-mingcute-candles,Candles Line,candle,line,MingCute Design,https://icon-sets.iconify.design/mingcute/candles-line/,https://api.iconify.design/mingcute/candles-line.svg,높이가 다른 두 개의 초와 두 불꽃을 겹쳐 리듬을 만든 부드러운 선형 아이콘.,2026-09-05
44,candle-003-tabler,Candle,candle,line,Paweł Kuna,https://icon-sets.iconify.design/tabler/candle/,https://api.iconify.design/tabler/candle.svg,직사각형 초와 비대칭 물방울 불꽃을 2px 라운드 선으로 단순화한 형태.,2026-09-05
45,candle-002-mdi-candle,Candle,candle,solid,Pictogrammers,https://icon-sets.iconify.design/mdi/candle/,https://api.iconify.design/mdi/candle.svg,큰 불꽃 안의 작은 심지 점과 녹아내린 촛농을 한 실루엣에 넣은 형태.,2026-09-05
46,candle-025-pinhead-flame,Candle with Flame,candle,solid,Quincy Morgan,https://icon-sets.iconify.design/pinhead/candle-with-flame/,https://api.iconify.design/pinhead/candle-with-flame.svg,타원형 용기와 중앙 불꽃을 지도 마커처럼 단순한 단색 덩어리로 압축한 형태.,2026-09-05
47,candle-005-remix-line,Candle Line,candle,line,Remix Design,https://icon-sets.iconify.design/ri/candle-line/,https://api.iconify.design/ri/candle-line.svg,마름모에 가까운 불꽃과 넓은 받침선을 대칭으로 배치한 기하학적 선형 아이콘.,2026-09-05
48,candle-007-streamline-plump,Plump Candle,candle,line,Streamline,https://icon-sets.iconify.design/streamline-plump/candle/,https://api.iconify.design/streamline-plump/candle.svg,두꺼운 라운드 선과 불규칙한 촛농 윗면으로 손맛을 준 통통한 캔들.,2026-09-05
49,candle-009-streamline-sharp,Sharp Candle,candle,line,Streamline,https://icon-sets.iconify.design/streamline-sharp/candle/,https://api.iconify.design/streamline-sharp/candle.svg,사선으로 잘린 촛농 면과 각진 불꽃을 얇고 날카로운 선으로 나타낸 형태.,2026-09-05
50,candle-023-griddy-halloween,Halloween Candle,candle,solid,Zuzana Benova,https://icon-sets.iconify.design/griddy-icons/halloween-candle/,https://api.iconify.design/griddy-icons/halloween-candle.svg,"굵은 촛농과 짧은 초, 작은 불꽃을 직선적인 단색 글리프로 조합한 형태.",2026-09-05
51,flame-iconify-solar-fire-bold,Fire Bold · Solar,flame,solid,480 Design,https://icon-sets.iconify.design/solar/fire-bold/,https://api.iconify.design/solar/fire-bold.svg,둥근 물방울형 외곽과 작은 내부 불꽃이 부드럽게 이어지는 볼드형.,2026-09-05
52,flame-iconify-akar-fire,Fire · Akar Icons,flame,line,Arturo Wibawa,https://icon-sets.iconify.design/akar-icons/fire/,https://api.iconify.design/akar-icons/fire.svg,한 줄처럼 이어지는 외곽과 작은 내부 곡선만 남긴 매우 간결한 선형.,2026-09-05
53,flame-iconify-gridicons-fire,Fire · Gridicons,flame,solid,Automattic,https://icon-sets.iconify.design/gridicons/fire/,https://api.iconify.design/gridicons/fire.svg,작은 크기에서도 읽히도록 불길의 굴곡을 굵고 단순하게 압축한 면형.,2026-09-05
54,flame-iconify-boxicons-fire,Fire · Boxicons,flame,line,Boxicons,https://icon-sets.iconify.design/boxicons/fire/,https://api.iconify.design/boxicons/fire.svg,넓은 바닥과 두 갈래 꼭짓점을 가진 매끈한 외곽선 중심 불꽃.,2026-09-05
55,flame-iconify-iconpark-fire,Fire · IconPark Solid,flame,solid,ByteDance,https://icon-sets.iconify.design/icon-park-solid/fire/,https://api.iconify.design/icon-park-solid/fire.svg,옆으로 휘는 큰 불길과 중심의 타원형 불씨가 강하게 대비되는 평면형.,2026-09-05
56,flame-iconify-basil-fire-solid,Fire Solid · Basil,flame,solid,Craftwork,https://icon-sets.iconify.design/basil/fire-solid/,https://api.iconify.design/basil/fire-solid.svg,폭이 넓고 모서리가 둥근 불꽃 안에 작은 물방울 음각을 둔 형태.,2026-09-05
57,flame-iconify-pepicons-fire,Fire · Pepicons Pop!,flame,line,CyCraft,https://icon-sets.iconify.design/pepicons-pop/fire/,https://api.iconify.design/pepicons-pop/fire.svg,짧고 둥근 선과 과감한 굴곡으로 약간 귀여운 인상을 주는 선형.,2026-09-05
58,flame-iconify-fontawesome-curved,Fire Flame Curved · Font Awesome Solid,flame,solid,Dave Gandy,https://icon-sets.iconify.design/fa7-solid/fire-flame-curved/,https://api.iconify.design/fa7-solid/fire-flame-curved.svg,한쪽으로 크게 휘어진 불길과 내부 물결을 합친 역동적인 곡선 면형.,2026-09-05
59,flame-iconify-octicons-flame,Flame 24 · Octicons,flame,solid,GitHub,https://icon-sets.iconify.design/octicon/flame-24/,https://api.iconify.design/octicon/flame-24.svg,활동 지표에 쓰기 좋은 조밀한 불꽃으로 외곽 굴곡을 짧게 압축한 면형.,2026-09-05
60,flame-iconify-pajamas-fire,Fire · GitLab Pajamas,flame,solid,GitLab B.V.,https://icon-sets.iconify.design/pajamas/fire/,https://api.iconify.design/pajamas/fire.svg,좁은 꼭짓점과 넓은 하단을 가진 제품 UI용 단색 불꽃.,2026-09-05
61,flame-iconify-ant-fire-filled,Fire Filled · Ant Design Icons,flame,solid,HeskeyBaozi,https://icon-sets.iconify.design/ant-design/fire-filled/,https://api.iconify.design/ant-design/fire-filled.svg,큰 불길 안에 작은 불꽃을 음각으로 파낸 고전적인 단색 실루엣.,2026-09-05
62,flame-iconify-hugeicons-fire-02,Fire 02 · Huge Icons,flame,line,Hugeicons,https://icon-sets.iconify.design/hugeicons/fire-02/,https://api.iconify.design/hugeicons/fire-02.svg,서로 다른 높이의 불길 곡선을 겹쳐 움직임을 살린 유기적 선형.,2026-09-05
63,flame-iconify-carbon-fire-fill,Fire Fill · Carbon,flame,solid,IBM,https://icon-sets.iconify.design/carbon/fire-fill/,https://api.iconify.design/carbon/fire-fill.svg,작은 그리드에 맞춘 단단한 외곽과 각진 음각이 돋보이는 시스템 아이콘형.,2026-09-05
64,flame-iconify-unicons-fire,Fire · Unicons,flame,line,Iconscout,https://icon-sets.iconify.design/uil/fire/,https://api.iconify.design/uil/fire.svg,큰 외곽 불길과 내부 혀 모양을 균일한 선 굵기로 중첩한 형태.,2026-09-05
65,flame-iconify-lets-fire-fill,Fire Fill · Lets Icons,flame,solid,Leonid Tsvetkov,https://icon-sets.iconify.design/lets-icons/fire-fill/,https://api.iconify.design/lets-icons/fire-fill.svg,둥근 바닥에서 가는 꼭짓점으로 좁아지는 물방울형 단색 불꽃.,2026-09-05
66,flame-iconify-nimbus-fire,Fire · Nimbus,flame,line,Linkedstore S.A.,https://icon-sets.iconify.design/nimbus/fire/,https://api.iconify.design/nimbus/fire.svg,굵은 외곽선과 넓은 내부 여백으로 작은 메뉴 막대에서도 선명한 형태.,2026-09-05
67,flame-iconify-iconoir-fire-flame,Fire Flame · Iconoir,flame,line,Luca Burgio,https://icon-sets.iconify.design/iconoir/fire-flame/,https://api.iconify.design/iconoir/fire-flame.svg,균일한 가는 선으로 바깥 불꽃과 작은 안쪽 불씨만 남긴 절제된 선형.,2026-09-05
68,flame-iconify-fluent-fire-filled,Fire 24 Filled · Fluent UI System Icons,flame,solid,Microsoft Corporation,https://icon-sets.iconify.design/fluent/fire-24-filled/,https://api.iconify.design/fluent/fire-24-filled.svg,둥근 외곽과 물결치는 측면을 사용해 친근하게 다듬은 시스템 면형.,2026-09-05
69,flame-iconify-mingcute-fire-fill,Fire Fill · MingCute,flame,solid,MingCute Design,https://icon-sets.iconify.design/mingcute/fire-fill/,https://api.iconify.design/mingcute/fire-fill.svg,동글한 외곽 안에 작은 음각 불씨가 들어간 친근하고 조밀한 면형.,2026-09-05
70,flame-iconify-tabler-flame-filled,Flame Filled · Tabler Icons,flame,solid,Paweł Kuna,https://icon-sets.iconify.design/tabler/flame-filled/,https://api.iconify.design/tabler/flame-filled.svg,가느다란 외곽 흐름 안에 검은 불씨 덩어리를 둔 선·면 혼합형.,2026-09-05
71,flame-iconify-phosphor-fire-fill,Fire Fill · Phosphor,flame,solid,Phosphor Icons,https://icon-sets.iconify.design/ph/fire-fill/,https://api.iconify.design/ph/fire-fill.svg,큰 물방울 실루엣 속 작은 불씨를 중심보다 낮게 배치한 둥근 형태.,2026-09-05
72,flame-iconify-mdi-fire,Fire · Material Design Icons,flame,solid,Pictogrammers,https://icon-sets.iconify.design/mdi/fire/,https://api.iconify.design/mdi/fire.svg,바깥 불꽃과 안쪽 불씨를 굵은 음각으로 나눈 안정적인 단색 실루엣.,2026-09-05
73,flame-iconify-mynaui-fire-solid,Fire Solid · Myna UI Icons,flame,solid,Praveen Juge,https://icon-sets.iconify.design/mynaui/fire-solid/,https://api.iconify.design/mynaui/fire-solid.svg,비대칭 곡선 외곽과 둥근 내부 홈을 쓴 부드러운 현대적 실루엣.,2026-09-05
74,flame-iconify-reicon-fire-filled,Fire Filled · Reicon,flame,solid,REICON,https://icon-sets.iconify.design/reicon/fire-filled/,https://api.iconify.design/reicon/fire-filled.svg,세로축을 강조한 외곽과 작은 음각 불씨로 구성된 균형 잡힌 실루엣.,2026-09-05
75,flame-iconify-heroicons-fire-solid,Fire Solid · Heroicons,flame,solid,Refactoring UI Inc,https://icon-sets.iconify.design/heroicons/fire-solid/,https://api.iconify.design/heroicons/fire-solid.svg,상단과 측면의 불길을 크게 흔들어 역동성을 준 단단한 단색 실루엣.,2026-09-05
76,flame-iconify-remix-fire-fill,Fire Fill · Remix Icon,flame,solid,Remix Design,https://icon-sets.iconify.design/ri/fire-fill/,https://api.iconify.design/ri/fire-fill.svg,왼쪽으로 휘는 큰 불길과 독립된 안쪽 불씨가 대비되는 단색형.,2026-09-05
77,flame-iconify-cuida-fire-outline,Fire Outline · Cuida Icons,flame,line,Sysvale,https://icon-sets.iconify.design/cuida/fire-outline/,https://api.iconify.design/cuida/fire-outline.svg,위쪽 꼬리를 길게 빼고 내부 불씨를 둥글게 감싼 여유 있는 선형.,2026-09-05
78,flame-iconify-bootstrap-fire,Fire · Bootstrap Icons,flame,solid,The Bootstrap Authors,https://icon-sets.iconify.design/bi/fire/,https://api.iconify.design/bi/fire.svg,불규칙한 세 갈래 외곽과 둥근 중심 불씨가 자연스럽게 이어지는 면형.,2026-09-05
79,flame-iconify-flowbite-fire-solid,Fire Solid · Flowbite Icons,flame,solid,Themesberg,https://icon-sets.iconify.design/flowbite/fire-solid/,https://api.iconify.design/flowbite/fire-solid.svg,위로 길게 솟은 한 갈래 불길과 작은 안쪽 구멍이 선명한 면형.,2026-09-05
80,flame-iconify-griddy-fire-filled,Fire Filled · Griddy Icons,flame,solid,Zuzana Benova,https://icon-sets.iconify.design/griddy-icons/fire-filled/,https://api.iconify.design/griddy-icons/fire-filled.svg,곡선을 절제하고 덩어리 비율을 키운 또렷한 기하학적 불꽃.,2026-09-05
81,flame-iconify-duoicons-fire,Fire · Duoicons,flame,flat,fernandcf,https://icon-sets.iconify.design/duo-icons/fire/,https://api.iconify.design/duo-icons/fire.svg,같은 단색 안에서 외곽 불길과 내부 불씨의 밀도를 다르게 둔 평면형.,2026-09-05
82,flame-iconify-meteor-fire,Fire · Meteor Icons,flame,line,zkreations,https://icon-sets.iconify.design/meteor-icons/fire/,https://api.iconify.design/meteor-icons/fire.svg,가늘고 긴 외곽선과 중심 불씨를 세로로 정렬한 날렵한 선형.,2026-09-05
83,identity-dribbble-6994292,Fire logo symbol exploration,identity,solid,Alex Tass,https://dribbble.com/shots/6994292-Fire-logo-symbol-exploration,https://cdn.dribbble.com/userupload/24565736/file/original-e2942c376971e9ac2325523a411cfb6f.png?resize=400x0,물방울 외곽 안에 여러 방향의 화염 파동을 넣은 심벌 탐구. 단일 외곽과 내부 움직임을 분리해 볼 수 있다.,2026-09-05
84,identity-behance-190232149,FLAME logo identity,identity,solid,Anastasiia Sonnyk,https://www.behance.net/gallery/190232149/FLAME-logo-identity,https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/85a2a8190232149.65b7f46a779df.png,촛불 브랜드의 절제된 로고타입과 화염 단서를 결합한 작업. 직접적인 그림보다 글자 리듬으로 따뜻함을 만든다.,2026-09-05
85,identity-dribbble-16895432,Simple Fire Logo,identity,solid,Bojan Gulevski,https://dribbble.com/shots/16895432-Simple-Fire-Logo,https://cdn.dribbble.com/userupload/34237525/file/original-57bdac79b5a33547463b6b43ef9e7e0d.jpg?resize=400x0,두꺼운 외곽 한 덩어리와 작은 음각 심지로 구성한 단순 화염. 앱 상태 아이콘으로 축소하기 쉬운 비율이다.,2026-09-05
86,identity-behance-25986533,Blahblahfire - Logo and Identity Design,identity,solid,Corey Hunt,https://www.behance.net/gallery/25986533/Blahblahfire-Logo-and-Identity-Design,https://mir-s3-cdn-cf.behance.net/project_modules/max_632_webp/b0d4e625986533.5634ef62c0240.png,모바일 소프트웨어 브랜드를 위해 작은 화면 축소를 전제로 만든 둥근 불꽃 마크. 로고타입 끝선까지 같은 곡률을 쓴다.,2026-09-05
87,identity-dribbble-26383090,"Letter R fire logo, logo and brand identity design",identity,solid,Hussain Ahmad,https://dribbble.com/shots/26383090-Letter-R-fire-logo-logo-and-brand-identity-design,https://cdn.dribbble.com/userupload/44443688/file/dacd73febe4584472e6be18bad36ff5e.jpg?resize=400x0,R의 상단 곡선을 불꽃 혀처럼 깎아 낸 흑백 심벌. 외곽보다 내부 음각으로 열감을 전달한다.,2026-09-05
88,identity-dribbble-25076462,KBS Systems - Fire Logo,identity,solid,Jelle Inghels,https://dribbble.com/shots/25076462-KBS-Systems-Fire-Logo,https://cdn.dribbble.com/userupload/17223939/file/original-07625c78e9d88baa504ddb145e2ddafe.png?resize=400x0,기하학적 조각을 맞물려 만든 화염 심벌. 날카로운 꼭짓점과 비대칭 내부 틈이 보호·경고 인상을 준다.,2026-09-05
89,identity-behance-114517071,Flame Logo,identity,flat,Kathryn Clarke,https://www.behance.net/gallery/114517071/Flame-Logo?locale=en_US,https://mir-s3-cdn-cf.behance.net/project_modules/hd_webp/23dbe4114517071.603d0aaf5294f.jpg,실제 가스 불꽃의 파랑에서 노랑으로 이어지는 색을 매끈한 마크로 번역했다. 형태는 단순하고 색으로 온도를 설명한다.,2026-09-05
90,identity-dribbble-26403108,Flamstor Logo Design | Letter F+Fire Logo Design,identity,solid,Logo Quick,https://dribbble.com/shots/26403108-Flamstor-Logo-Design-Letter-F-Fire-Logo-Design,https://cdn.dribbble.com/userupload/44511192/file/7ec612aa75ffb18cf4c6df2be0f604ed.jpg?resize=400x0,F의 세로획과 불꽃 끝을 한 덩어리로 합친 각진 단색형 레터마크. 작은 메뉴바 크기에서도 외곽이 또렷한 구성.,2026-09-05
91,identity-dribbble-11168832,C letter fire logo design,identity,solid,Md Emon Sheikh,https://dribbble.com/shots/11168832-C-letter-fire-logo-design,https://cdn.dribbble.com/userupload/26962788/file/original-9873c0f4a5c6f519961692fea91c48ff.jpg?resize=400x0,C의 열린 끝을 두 갈래 불꽃으로 올린 곡선형 레터마크. 둥근 베이스 덕분에 공격적이지 않은 온도를 만든다.,2026-09-05
92,identity-dribbble-26325628,"flame logo, professional logo, fire logo, energy logo, fire",identity,flat,Olay Brand®,https://dribbble.com/shots/26325628-flame-logo-professional-logo-fire-logo-energy-logo-fire,https://cdn.dribbble.com/userupload/44261965/file/67a75cd591980f229d2cda8f5d82821d.jpg?resize=400x0,둥근 곡면 두세 개가 겹쳐 상승 방향을 만드는 부드러운 불꽃. 색을 빼도 물방울형 실루엣이 남는 구조.,2026-09-05
93,identity-dribbble-27612960,Phoenix - Brand Identity Exploration,identity,solid,Rokon,https://dribbble.com/shots/27612960-Phoenix-Brand-Identity-Exploration,https://cdn.dribbble.com/userupload/48582292/file/e3230431b16cbe6c5a0e9d9e51278ffc.jpeg?resize=400x0,불꽃 외곽과 새의 날개를 음각으로 겹친 유선형 마크. 위로 흐르는 곡선이 상승·회복의 서사를 만든다.,2026-09-05
